1633046400.0,43820.01000000,44000.75000000,43792.14000000,43981.07000000,445.43966000,1633046699999,19564108.52481720,7744,207.33585000,9107798.00927840,0
1633046700.0,43981.06000000,44000.37000000,43713.38000000,43784.10000000,172.75375000,1633046999999,7578105.05561530,5058,66.01302000,2895606.00390060,0
1633047000.0,43784.10000000,43866.14000000,43721.43000000,43763.61000000,100.35483000,1633047299999,4393153.30130720,3018,51.30471000,2245632.01485110,0
1633047300.0,43763.62000000,43820.37000000,43698.76000000,43795.56000000,116.70630000,1633047599999,5106069.57174760,2888,51.32695000,2245736.46595020,0
1633047600.0,43795.56000000,43849.60000000,43750.03000000,43841.26000000,98.79628000,1633047899999,4328040.56652660,2757,41.31160000,1809773.25870350,0
1633047900.0,43841.25000000,43899.79000000,43811.94000000,43872.99000000,87.18266000,1633048199999,3823907.04457120,2659,48.61563000,2132372.51570190,0
1633048200.0,43872.99000000,43982.72000000,43864.56000000,43976.22000000,201.36993000,1633048499999,8844678.65207980,4342,95.78689000,4207159.77975940,0
1633048500.0,43976.22000000,44059.00000000,43841.55000000,43899.20000000,252.11559000,1633048799999,11083813.11384170,5644,126.69504000,5570875.95414350,0
1633048800.0,43899.21000000,43930.00000000,43840.30000000,43894.52000000,139.32556000,1633049099999,6115264.15911270,3058,62.38599000,2738055.52050240,0
1633049100.0,43894.52000000,43898.52000000,43723.01000000,43768.30000000,183.00894000,1633049399999,8014580.49667420,3856,68.53402000,3000940.72559740,0
1633049400.0,43768.30000000,43770.48000000,43671.44000000,43677.18000000,116.01697000,1633049699999,5071803.39574940,2826,36.57577000,1599116.51407290,0
1633049700.0,43677.19000000,43762.98000000,43661.63000000,43694.48000000,88.49024000,1633049999999,3869006.57249240,2499,40.50512000,1771054.19643500,0
1633050000.0,43696.14000000,43696.14000000,43467.10000000,43503.80000000,265.14955000,1633050299999,11553309.43360180,6230,113.63631000,4952117.31816650,0
1633050300.0,43503.81000000,43624.36000000,43417.61000000,43497.17000000,236.30278000,1633050599999,10276471.36645450,4440,104.03464000,4524483.77680480,0
1633050600.0,43497.18000000,43538.00000000,43418.00000000,43486.76000000,134.96442000,1633050899999,5867773.95585810,2957,53.62559000,2331262.95766240,0
1633050900.0,43486.77000000,43583.17000000,43486.76000000,43564.77000000,96.63890000,1633051199999,4206844.69610840,2321,50.71888000,2207729.51986200,0
1633051200.0,43564.78000000,43617.99000000,43558.84000000,43596.65000000,72.73114000,1633051499999,3170718.84645770,2005,41.09494000,1791502.62914040,0
1633051500.0,43596.65000000,43612.09000000,43550.01000000,43609.43000000,77.82546000,1633051799999,3391682.28374150,1919,33.78468000,1472272.73274190,0
1633051800.0,43609.43000000,43677.25000000,43579.11000000,43656.29000000,81.60496000,1633052099999,3560327.45434130,2031,48.66319000,2123081.31272330,0
1633052100.0,43656.29000000,43687.11000000,43650.01000000,43665.48000000,38.29993000,1633052399999,1672335.30014650,1674,20.32626000,887526.26399640,0
1633052400.0,43664.03000000,43776.25000000,43651.36000000,43773.92000000,87.91332000,1633052699999,3843721.21187180,2430,45.70406000,1998060.06162910,0
1633052700.0,43773.92000000,43803.94000000,43683.67000000,43686.14000000,68.21238000,1633052999999,2983883.73740610,2128,31.34175000,1371247.11410950,0
1633053000.0,43686.13000000,43732.35000000,43650.97000000,43680.52000000,59.42206000,1633053299999,2596400.22799050,1997,22.60604000,987623.39953770,0
1633053300.0,43680.51000000,43784.17000000,43680.51000000,43742.74000000,73.49358000,1633053599999,3215179.78438720,1811,37.14906000,1624918.13622750,0
1633053600.0,43742.74000000,43792.87000000,43742.74000000,43747.74000000,84.45288000,1633053899999,3696504.52758910,1919,25.37586000,1110543.83454690,0
1633053900.0,43747.75000000,43794.89000000,43718.01000000,43749.68000000,90.66120000,1633054199999,3966540.92136290,2096,49.82441000,2180149.57262960,0
1633054200.0,43749.68000000,43764.58000000,43643.52000000,43648.00000000,83.61193000,1633054499999,3653180.03754620,1987,28.37426000,1239599.28472870,0
1633054500.0,43648.01000000,43648.01000000,43525.24000000,43546.17000000,120.22182000,1633054799999,5238126.10242880,2898,56.12495000,2445261.27095320,0
1633054800.0,43546.17000000,43595.18000000,43529.08000000,43543.61000000,132.57805000,1633055099999,5775560.16791630,2182,81.07035000,3531687.09919830,0
1633055100.0,43543.62000000,43604.34000000,43543.61000000,43579.82000000,68.30756000,1633055399999,2976594.52306080,1587,34.76482000,1514802.13367270,0
1633055400.0,43579.81000000,43628.69000000,43538.62000000,43615.21000000,69.99447000,1633055699999,3050215.23442750,1779,34.91820000,1521507.93696130,0
1633055700.0,43615.21000000,43615.22000000,43382.78000000,43400.00000000,192.24145000,1633055999999,8357086.45807050,3546,85.29405000,3707685.62438250,0
1633056000.0,43400.01000000,43433.20000000,43284.41000000,43412.13000000,230.62482000,1633056299999,10001889.72548410,4994,131.37213000,5697297.42739390,0
1633056300.0,43412.12000000,43415.20000000,43324.66000000,43361.31000000,107.65798000,1633056599999,4669450.37115120,2792,53.87155000,2336609.50668570,0
1633056600.0,43361.30000000,43370.33000000,43283.03000000,43369.99000000,111.19242000,1633056899999,4818141.56773300,2735,52.77592000,2286986.76639890,0
1633056900.0,43369.99000000,43431.97000000,43365.16000000,43379.01000000,57.16277000,1633057199999,2481000.49904940,1962,23.95521000,1039735.70087650,0
1633057200.0,43379.00000000,43470.00000000,43352.28000000,43415.12000000,96.70432000,1633057499999,4199025.93232670,2563,54.35573000,2360102.83426920,0
